Family,habit,leaf.arrangement,stipules,ovary.position,inflorescence,floral.symmetry
Apiaceae,herbaceous,opposite,absent,superior,umbel,bilateral
Araliaceae,woody,opposite,present,superior,terminal,radial
Pittosporaceae,herbaceous,alternate,absent,superior,spike,radial
Aquifoliaceae,woody,alternate,present,superior,spike,bilaterial
Asteraceae,herbaceous,opposite,absent,inferior,umbel,bilaterial
Campanulaceae,herbaceous,alternate,absent,inferior,umbel,bilaterial
Boraginaceae,herbaceous,opposite,absent,inferior,terminal,bilaterial
Adoxaceae,woody,opposite,absent,inferior,terminal,radial
Caprifoliaceae,woody,opposite,absent,inferior,terminal,radial
Ebanaceae,woody,alternate,absent,superior,umbel,radial
Ericaceae,herbaceous,opposite,absent,superior,umbel,bilaterial
Polemoniaceae,herbaceous,opposite,absent,superior,spike,actinomorphic
Primulaceae,woody,opposite,absent,superior,spike,actinomorphic
Sapotaceae,herbaceous,alternate,absent,superior,terminal,actinomorphic
Sarraceniaceae,herbaceous,opposite,absent,inferior,spike,actinomorphic
Apocynaceae,herbaceous,opposite,absent,inferior,umbel,bilaterial
Rubiacae,woody,opposite,present,inferior,umbel,actinomorphic
Bignoniaceae,vine,opposite,absent,inferior,spike,actinomorphic
Lamiaceae,herbaceous,opposite,absent,inferior,terminal,radial
Lentibulariaceae,herbaceous,opposite,absent,superior,spike,radial
Oleaceae,woody,opposite,absent,superior,umbel,bilaterial
Plantaginaceae,herbaceous,opposite,absent,superior,terminal,radial
Scrophulariaceae,herbaceous,alternate,absent,superior,cyme,radial
Verbenaceae,herbaceous,opposite,absent,superior,umbel,bilaterial
Convolvulaceae,vine,opposite,absent,superior,cyme,radial
Solanaceae,herbaceous,alternate,absent,superior,cyme,radial
